update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1155286281,Platform,1155538315,JDT,153580,,,,,,,,
1155694927,Platform,1155695526,JDT,154027,,,,,,,,
1147401888,Platform,1155737878,JDT,141500,,,,,,,,
1155708161,Platform,1155740023,JDT,154040,,,,,,,,
1155776722,Platform,1155777448,JDT,154177,,,,,,,,
1155245961,Platform,1156239200,JDT,153521,,,,,,,,
1156289915,Platform,1156313009,JDT,154811,,,,,,,,
1156408816,Platform,1156409519,JDT,155043,,,,,,,,
1156383600,Platform,1156412568,JDT,154995,,,,,,,,
1156568047,Platform,1156706364,JDT,155305,,,,,,,,
1157011069,Platform,1157018507,JDT,155819,,,,,,,,
1156920083,Platform,1157116019,JDT,155678,,,,,,,,
1157444370,Platform,1157444379,JDT,156202,,,,,,,,
1157363535,Platform,1157447657,JDT,156117,,,,,,,,
1156427120,Platform,1157454016,JDT,155103,,,,,,,,
1157459155,Platform,1157459255,JDT,156239,,,,,,,,
1157631562,Platform,1157636744,JDT,156575,,,,,,,,
1157942572,Platform,1158011605,JDT,156843,,,,,,,,
1157714691,Platform,1158136915,JDT,156738,,,,,,,,
1158058805,Platform,1158137586,JDT,157067,,,,,,,,
1158325380,PDE,1158325906,Equinox,157513,1175247522,PDE,1178750477,JDT,,,,
1158326366,Platform,1158379278,JDT,157516,,,,,,,,
1158348890,PDE,1158522877,JDT,157549,,,,,,,,
1157554998,JDT,1158659991,Platform,156437,1169821070,JDT,,,,,,
1158918546,Platform,1159179624,JDT,158336,,,,,,,,
1153470366,Platform,1159465215,JDT,151408,,,,,,,,
1159433924,PDE,1159540395,JDT,159118,,,,,,,,
1159431317,Platform,1159781194,JDT,159113,,,,,,,,
1158947653,JDT,1159944925,Platform,158396,1163592787,JDT,,,,,,
1159337866,JDT,1159956514,Platform,158956,1219114834,JDT,,,,,,
1147370082,Platform,1160039894,JDT,141466,,,,,,,,
1160037202,Platform,1160573559,JDT,159884,,,,,,,,
1156531197,PDE,1160762705,JDT,155303,,,,,,,,
1159277168,Platform,1160939463,JDT,158842,,,,,,,,
1159349789,Platform,1160939679,JDT,158984,,,,,,,,
1159383079,Platform,1160939933,JDT,159061,,,,,,,,
1159775412,Platform,1160940234,JDT,159452,,,,,,,,
1159841853,Platform,1160940298,JDT,159546,,,,,,,,
1161071409,Platform,1161076367,JDT,161234,,,,,,,,
1161184319,Platform,1161221059,JDT,161480,,,,,,,,
1161052358,Platform,1161254765,JDT,161192,,,,,,,,
1161223953,Platform,1161255715,JDT,161522,,,,,,,,
1161271061,Platform,1161294788,JDT,161659,,,,,,,,
1161347752,Platform,1161347877,JDT,161764,,,,,,,,
1161431121,Platform,1161766598,JDT,161846,,,,,,,,
1161857247,Platform,1161860370,JDT,162424,,,,,,,,
1162870444,Platform,1162871055,JDT,163640,,,,,,,,
1163346128,PDE,1163347602,JDT,164266,,,,,,,,
1162682895,Platform,1163603814,JDT,163465,,,,,,,,
1164021160,Platform,1164114002,JDT,165179,,,,,,,,
1164114707,Platform,1164114723,JDT,165360,,,,,,,,
1164193900,Platform,1164201610,JDT,165475,,,,,,,,
1164205858,Platform,1164206233,JDT,165520,,,,,,,,
1164205723,Platform,1164354463,JDT,165519,,,,,,,,
1164369630,Platform,1164370634,JDT,165805,,,,,,,,
1164474827,JDT,1164606637,Platform,165850,1180445069,JDT,,,,,,
1164694196,JDT,1164702003,Platform,166040,1164705016,JDT,,,,,,
1164698926,Platform,1164708579,JDT,166050,,,,,,,,
1164723035,Platform,1164785693,JDT,166111,,,,,,,,
1164829628,Platform,1164829800,JDT,166298,,,,,,,,
1164600800,PDE,1165244421,JDT,165894,,,,,,,,
1165317442,PDE,1165323570,JDT,166811,,,,,,,,
1165323476,Platform,1165335882,JDT,166824,,,,,,,,
1165887106,Platform,1165916534,JDT,167546,,,,,,,,
1166058225,Platform,1166058566,JDT,168002,,,,,,,,
1166084289,Platform,1166085297,JDT,168056,,,,,,,,
1166472222,Platform,1166501014,JDT,168490,,,,,,,,
1166543681,JDT,1166547420,PDE,168606,1170148155,JDT,,,,,,
1167820508,Platform,1167826364,JDT,169445,,,,,,,,
1168277296,PDE,1168332108,JDT,169911,,,,,,,,
1168277623,PDE,1168332130,JDT,169913,,,,,,,,
1168019470,PDE,1168338374,JDT,169742,,,,,,,,
1170012576,Platform,1170052694,JDT,171954,,,,,,,,
1169718487,Platform,1170086435,JDT,171688,,,,,,,,
1170150052,Platform,1170150173,JDT,172181,,,,,,,,
1170755124,JDT,1170755269,Platform,173091,1170755399,JDT,,,,,,
1168319732,Platform,1170755376,JDT,169946,,,,,,,,
1170405787,JDT,1171609805,PDE,172666,1171748494,JDT,1171868766,PDE,1172036992,JDT,,
1171151366,Platform,1171971752,JDT,173770,,,,,,,,
1172145919,Platform,1172159090,JDT,175155,,,,,,,,
1172217739,Platform,1172223559,JDT,175274,,,,,,,,
1172773025,Platform,1172809621,JDT,176125,,,,,,,,
1172877499,Platform,1172891062,JDT,176269,,,,,,,,
1173153453,Platform,1173157785,JDT,176471,,,,,,,,
1173875827,Platform,1173876437,JDT,177382,,,,,,,,
1173859051,Platform,1173884397,JDT,177324,,,,,,,,
1173849854,Platform,1174296599,JDT,177295,1177989983,Platform,1179815808,JDT,,,,
1174374510,Platform,1174378037,JDT,178237,1174378806,Platform,1174378932,JDT,,,,
1174560525,Platform,1174574697,JDT,178819,,,,,,,,
1174628665,Platform,1174633654,JDT,178969,,,,,,,,
1174919804,Platform,1174945827,JDT,179382,,,,,,,,
1175118189,Platform,1175145443,JDT,179902,,,,,,,,
1151979822,PDE,1175240416,JDT,149527,,,,,,,,
1172908019,Platform,1175253564,JDT,176282,,,,,,,,
1169218125,Platform,1175264729,JDT,171099,,,,,,,,
1155709700,JDT,1175581936,Platform,154043,1177927945,JDT,,,,,,
1174053572,PDE,1175682224,JDT,177819,,,,,,,,
1176174796,Platform,1176257724,JDT,181727,,,,,,,,
1176371134,Platform,1176375924,JDT,182154,,,,,,,,
1172684951,Platform,1176860149,JDT,175957,,,,,,,,
1176871898,Platform,1176904748,JDT,182921,,,,,,,,
1167804624,Platform,1177319944,JDT,169416,,,,,,,,
1167835756,Platform,1177320084,JDT,169477,,,,,,,,
1167983320,Platform,1177320283,JDT,169682,,,,,,,,
1168002675,Platform,1177320305,JDT,169715,,,,,,,,
1168283060,Platform,1177320522,JDT,169915,,,,,,,,
