update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1172196012,Build path contains duplicate entry,1220322223,[buildpath] Build path contains duplicate entry,175226,,,,,,,,
1201165005,Missing classpath 'variable' jars aren't seen when supplied,1220322257,[buildpath] Missing classpath 'variable' jars aren't seen when supplied,216446,,,,,,,,
1148285011,Foreground compilation without dialog box - looks like stucked app,1220322614,[model] Rename operation should not use workspace root rule,142990,,,,,,,,
1141122443,"Local variable bindings from ASTParser#createASTs(.., String[], .., ..) have no declaring method",1220322821,"[dom] Local variable bindings from ASTParser#createASTs(.., String[], .., ..) have no declaring method",129804,,,,,,,,
1211188081,Misleading problem text for missing jar in user library,1220323305,[buildpath] Misleading problem text for missing jar in user library,232816,,,,,,,,
1169291714,Illegal type of archive for required library is an incorrect message.,1220323332,[buildpath] Illegal type of archive for required library is an incorrect message.,171136,,,,,,,,
1208964556,External class file folders are sometimes empty,1220323391,[buildpath] External class file folders are sometimes empty,228529,,,,,,,,
1212044031,BindingKey#toSignature() fails with key from createWilcardTypeBindingKey(..),1220323483,[dom] BindingKey#toSignature() fails with key from createWilcardTypeBindingKey(..),234609,,,,,,,,
1213329217,Unexpected failure in AttachSourceTests.testExternalFolder4() while running RunAllJDTCoreTests,1220323868,[tests] Unexpected failure in AttachSourceTests.testExternalFolder4() while running RunAllJDTCoreTests,237038,,,,,,,,
1189042299,Incomplete code coverage or useless statement within ThrowStatement#resolve,1220323938,[compiler] Incomplete code coverage or useless statement within ThrowStatement#resolve,202393,,,,,,,,
1213854582,Deadlock in JDT causing UI freeze,1220325569,[implementation] Deadlock in JDT causing UI freeze,237772,,,,,,,,
1210916025,Classpath failed to bind to installed JRE,1220325703,[buildpath] Classpath failed to bind to installed JRE,232478,,,,,,,,
1215517504,Eclipse ignores .classpath file if it is encoded in UTF8 with BOM,1220326395,[buildpath] Eclipse ignores .classpath file if it is encoded in UTF8 with BOM,240034,,,,,,,,
1218375408,Cannot set Attached Source from Class File Editor,1220327203,[buildpath] Cannot set Attached Source from Class File Editor,243692,,,,,,,,
1219031539,Internal jars refered with OS path are shown as non-Java resources,1220327287,[buildpath] Internal jars refered with OS path are shown as non-Java resources,244406,,,,,,,,
