update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1171510417,normal,1171510441,major,174265,,,,
1172051144,normal,1172052180,critical,174971,1172052438,normal,,
1172214217,normal,1172228094,trivial,175265,,,,
1172213989,normal,1172228886,trivial,175263,,,,
1172406712,critical,1172451232,minor,175459,,,,
1172481882,normal,1172482136,major,175534,,,,
1172650465,normal,1172650476,trivial,175833,,,,
1173190415,critical,1173190927,blocker,176528,,,,
1173444847,normal,1173449319,major,176853,,,,
1173928222,critical,1173957668,normal,177499,1173958645,critical,,
1153808912,normal,1174019098,major,151683,,,,
1173255210,normal,1174028781,major,176608,,,,
1173849854,normal,1174383151,major,177295,,,,
1173945730,normal,1174541245,major,177539,,,,
1174632691,normal,1174633614,major,178978,,,,
1174555031,normal,1174635469,major,178795,,,,
1173207674,enhancement,1174658976,normal,176549,,,,
1152696984,normal,1174891485,critical,150404,,,,
1172908019,normal,1174892191,major,176282,,,,
1147874479,normal,1174892262,major,142330,,,,
1174560525,major,1174955350,normal,178819,,,,
1174969689,normal,1174969707,minor,179477,,,,
1175164181,normal,1175164213,minor,180030,,,,
1153848625,minor,1175238120,normal,151787,,,,
1155630721,normal,1175258061,major,153912,1175264844,normal,,
1175505275,normal,1175505393,minor,180497,,,,
1144410311,enhancement,1175570131,normal,135612,,,,
1171268605,normal,1175593704,minor,173868,1180069016,normal,,
1175667991,major,1175671824,minor,180929,,,,
1175505123,normal,1175722005,major,180496,,,,
1176126235,blocker,1176190320,normal,181652,,,,
1175198013,minor,1176210195,major,180109,,,,
1176802961,normal,1176803954,minor,182774,,,,
1176888929,normal,1176889190,minor,182992,,,,
1176922450,minor,1176947291,normal,183093,,,,
1177170721,normal,1177170742,trivial,183513,,,,
1177170593,trivial,1177229859,normal,183512,,,,
1177414928,normal,1177416164,major,183833,,,,
1177433314,critical,1177435434,normal,183878,,,,
1177465468,normal,1177465533,trivial,183933,,,,
1177922784,normal,1177923189,critical,184703,1178072559,normal,,
1178014680,normal,1178014694,major,184917,,,,
1178028859,normal,1178029039,major,184971,,,,
1174502606,enhancement,1178041685,critical,178690,1178042896,enhancement,1178043395,major
1178033555,normal,1178085832,major,184991,,,,
1178115815,critical,1178118480,normal,185220,,,,
1178095374,minor,1178620201,major,185129,,,,
1178688848,normal,1178690369,minor,186127,,,,
1178874024,normal,1179103772,minor,186574,,,,
1179112701,normal,1179128259,trivial,186754,,,,
1179204363,normal,1179211247,trivial,186976,,,,
1157009340,normal,1179212019,trivial,155814,,,,
1178704075,normal,1179301131,major,186188,,,,
1179315477,trivial,1179317844,normal,187329,,,,
1179478619,normal,1179717336,trivial,187824,,,,
