update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1146481867,JDT,1146493250,Platform,139550,,,,,,
1146521586,PDE,1146556829,Platform,139656,,,,,,
1146222561,JDT,1146557526,Platform,139239,,,,,,
1146555499,JDT,1146558934,Platform,139673,,,,,,
1146558972,JDT,1146559796,Platform,139695,,,,,,
1146557572,JDT,1146574850,Platform,139686,,,,,,
1146627978,JDT,1146629967,Platform,139902,,,,,,
1146629672,Platform,1146644583,CDT,139911,1147249612,Platform,,,,
1146502456,JDT,1146645739,Platform,139643,,,,,,
1146649061,JDT,1146649392,Platform,139981,,,,,,
1146660432,JDT,1146660645,Platform,140047,,,,,,
1146664757,JDT,1146666111,Platform,140064,,,,,,
1146703570,JDT,1146703771,Platform,140116,,,,,,
1146728448,JDT,1146742271,Platform,140154,,,,,,
1146752657,JDT,1146752872,Platform,140246,,,,,,
1146819545,JDT,1146819708,Platform,140369,,,,,,
1147075500,JDT,1147075644,Platform,140564,,,,,,
1146859855,JDT,1147082712,Platform,140459,,,,,,
1146688525,PDE,1147116111,Platform,140105,,,,,,
1147077290,JDT,1147148788,Platform,140576,,,,,,
1147170674,Platform,1147181988,PDE,140833,1147436074,Platform,,,,
1147167118,Platform,1147182865,PDE,140814,1147435802,Platform,,,,
1147170748,Platform,1147185900,PDE,140834,1147435954,Platform,,,,
1147170616,Platform,1147188165,JDT,140830,1147265388,Platform,,,,
1147170779,Platform,1147188215,JDT,140835,1147189470,Platform,,,,
1147262530,PDE,1147264850,Platform,141107,,,,,,
1147272513,JDT,1147305776,Platform,141153,,,,,,
1147336114,JDT,1147341470,Platform,141312,,,,,,
1140056942,CDT,1147341994,Platform,128164,,,,,,
1147163313,JDT,1147343572,Platform,140795,,,,,,
1145287269,JDT,1147348254,Platform,137091,,,,,,
1147323702,Platform,1147352196,JDT,141275,1147393364,Platform,1147422847,JDT,1147423153,Platform
1139451322,CDT,1147784938,Platform,127036,,,,,,
1147844561,Platform,1147852038,PDE,142193,1147965627,Platform,,,,
1141100341,CDT,1147915385,Platform,129747,,,,,,
1147823714,PDE,1147939254,Platform,142146,,,,,,
1147946817,JDT,1147951223,Platform,142528,,,,,,
1147956041,PDE,1147961362,Platform,142564,,,,,,
1148281517,CDT,1148292722,Platform,142983,,,,,,
1148276065,JDT,1148312944,Platform,142967,,,,,,
1148311556,JDT,1148325241,Platform,143074,,,,,,
1148376280,PDE,1148378112,Platform,143233,,,,,,
1148402622,JDT,1148409992,Platform,143353,,,,,,
1148461657,PDE,1148462182,Platform,143480,,,,,,
1148340531,PDE,1148462547,Platform,143136,,,,,,
1148466063,PDE,1148466355,Platform,143512,,,,,,
1148526370,JDT,1148607279,Platform,143676,,,,,,
1148552310,JDT,1148610653,Platform,143757,,,,,,
1148610473,JDT,1148635554,Platform,143902,,,,,,
1148647250,PDE,1148647968,JDT,144017,1148895567,Platform,,,,
1148000287,JDT,1148885155,Platform,142688,,,,,,
1148898866,JDT,1148899024,Platform,144265,,,,,,
1148918282,PDE,1148918426,Platform,144329,,,,,,
1148958344,JDT,1148958754,Platform,144395,,,,,,
1148989131,JDT,1148991236,Platform,144499,,,,,,
1148989775,JDT,1149040147,Platform,144502,,,,,,
1149081986,PDE,1149082472,Platform,144755,,,,,,
1149135880,JDT,1149157511,Platform,144860,,,,,,
1149107011,Platform,1149522987,TPTP,144823,1149760641,Platform,1149770008,TPTP,1151486708,Platform
1149226582,PDE,1149595325,Platform,145041,,,,,,
1149661341,JDT,1149664366,Platform,145750,,,,,,
1149671003,Platform,1149689763,PDE,145780,1149694453,Platform,,,,
1149586359,JDT,1149738829,Platform,145557,,,,,,
1149630471,JDT,1149739431,Platform,145687,,,,,,
1149679140,JDT,1149741695,Platform,145807,,,,,,
1149726391,JDT,1149742074,Platform,145931,,,,,,
1147865069,JDT,1149762297,Platform,142292,,,,,,
1149720304,PDE,1149768628,Platform,145918,,,,,,
1141272350,JDT,1149819326,Platform,130096,,,,,,
1146557071,JDT,1149829159,Platform,139682,,,,,,
1149846564,JDT,1149846766,Platform,146282,,,,,,
1149848175,JDT,1149989369,Platform,146291,,,,,,
1149825547,JDT,1149989714,Platform,146212,,,,,,
1149993652,JDT,1150157101,Platform,146402,,,,,,
1150209659,PDE,1150209985,Platform,146916,,,,,,
1150198152,JDT,1150245782,Platform,146874,,,,,,
1150279036,JDT,1150336562,Platform,147074,,,,,,
1150334828,PDE,1150353350,Platform,147236,,,,,,
1150345982,JDT,1150364000,Platform,147268,,,,,,
1150388256,PDE,1150388314,Platform,147375,,,,,,
1150458178,JDT,1150469950,Platform,147488,,,,,,
1150643010,JDT,1150683935,Platform,147673,,,,,,
1150622116,PDE,1150848977,Platform,147666,,,,,,
1150853166,PDE,1150871065,Platform,147994,,,,,,
1148017393,PDE,1150899569,Platform,142724,,,,,,
1151055152,PDE,1151055224,Platform,148401,,,,,,
1151282391,JDT,1151295055,Platform,148595,,,,,,
1151571534,JDT,1151630953,Platform,149169,,,,,,
1151851316,JDT,1151917966,Platform,149415,1152081228,Community,1152084886,Platform,,
1152060835,JDT,1152085554,Platform,149631,,,,,,
1152232757,JDT,1152245694,Platform,149946,,,,,,
1152178148,JDT,1152248600,Platform,149840,,,,,,
1152151549,JDT,1152582459,Platform,149788,,,,,,
1152255125,JDT,1152603175,Platform,149964,,,,,,
1150447851,JDT,1152696643,Platform,147453,,,,,,
1152789131,JDT,1152802968,Platform,150535,,,,,,
1153271633,JDT,1153283823,Platform,151043,,,,,,
1147847618,JDT,1153301174,Platform,142198,,,,,,
1153143991,JDT,1153466615,Platform,150859,,,,,,
1153659835,PDE,1153669301,Platform,151529,,,,,,
1153791348,PDE,1153811720,Platform,151665,,,,,,
1147433921,JDT,1153919964,Platform,141581,,,,,,
1153894139,JDT,1153985145,Platform,151833,,,,,,
1153979298,PDE,1153986762,Platform,151983,,,,,,
1153904542,JDT,1153993168,Platform,151858,,,,,,
1153989047,JDT,1154055175,Platform,152005,,,,,,
1154328908,JDT,1154331343,Platform,152323,,,,,,
1154037831,JDT,1154337537,Platform,152095,,,,,,
1153286037,JDT,1154347673,Platform,151066,,,,,,
1152108281,JDT,1154351151,Platform,149728,,,,,,
1154419969,PDE,1154420048,Platform,152457,,,,,,
1145884112,JDT,1154423364,Platform,138252,,,,,,
1153308311,JDT,1154440556,Platform,151108,,,,,,
1154375562,JDT,1154517608,Platform,152404,,,,,,
1154525220,PDE,1154525344,Platform,152655,,,,,,
1155043081,PDE,1155043200,Platform,153162,,,,,,
1155031809,JDT,1155099641,Platform,153105,,,,,,
1155054620,Platform,1155108900,Data Tools,153201,1155199483,Platform,,,,
1155125643,JDT,1155163951,Platform,153325,,,,,,
1155152393,JDT,1155182481,Platform,153372,,,,,,
1155202409,JDT,1155226225,Platform,153450,,,,,,
1155281870,PDE,1155284102,Platform,153571,,,,,,
1155432713,PDE,1155465290,Platform,153691,,,,,,
1155525559,Platform,1155533193,PDE,153737,1159947629,Platform,,,,
1155573832,PDE,1155573945,Platform,153837,,,,,,
1155687973,JDT,1155687997,Platform,154014,,,,,,
1155560528,JDT,1155690688,Platform,153809,,,,,,
1155791203,PDE,1155794814,Platform,154198,,,,,,
1155942912,JDT,1155964053,Platform,154424,,,,,,
1155628359,JDT,1156145783,Platform,153905,,,,,,
1155716173,JDT,1156147190,Platform,154052,,,,,,
1156147326,JDT,1156149855,Platform,154537,,,,,,
1155796594,JDT,1156159574,Platform,154204,,,,,,
1156192101,CDT,1156195411,Platform,154636,,,,,,
1156249136,PDE,1156249217,Platform,154727,,,,,,
1156266092,JDT,1156268717,Platform,154778,,,,,,
1156338035,JDT,1156383229,Platform,154914,,,,,,
1156391122,PDE,1156400906,Platform,155011,,,,,,
1156410953,JDT,1156411305,Platform,155050,,,,,,
1156479495,JDT,1156532657,Platform,155200,,,,,,
1156596772,PDE,1156597363,Platform,155317,,,,,,
1155779545,JDT,1156755663,Platform,154184,,,,,,
1156815874,PDE,1156816238,Platform,155502,,,,,,
1156581242,JDT,1156841493,Platform,155307,,,,,,
1156827545,JDT,1156848557,Platform,155522,,,,,,
1156889408,PDE,1156889646,Platform,155624,,,,,,
1156861119,JDT,1156897655,Platform,155595,,,,,,
1156911265,JDT,1156924829,Platform,155657,,,,,,
1156928630,PDE,1156928835,Platform,155695,,,,,,
1157025429,JDT,1157040245,Platform,155866,,,,,,
1157268828,JDT,1157333009,Platform,156056,,,,,,
1157427866,PDE,1157445459,Platform,156172,,,,,,
1157593049,Platform,1157622247,Web Tools,156486,1166571944,Platform,,,,
1157720128,PDE,1157721200,Platform,156754,,,,,,
1157830726,JDT,1157853211,Platform,156803,,,,,,
1157929349,PDE,1157929675,Platform,156832,,,,,,
1157929375,PDE,1157929702,Platform,156833,,,,,,
1157831222,JDT,1157944582,Platform,156804,,,,,,
1157978538,JDT,1158031151,Platform,156918,,,,,,
1158032820,CDT,1158050927,Platform,156999,,,,,,
1158058578,Platform,1158240742,JDT,157066,1158568375,Platform,,,,
1158239650,JDT,1158296232,Platform,157382,,,,,,
1158358486,JDT,1158379200,Platform,157556,,,,,,
1158229268,PDE,1158539459,Platform,157344,,,,,,
1158632655,JDT,1158642843,Platform,157753,,,,,,
1146229479,Platform,1158650300,JDT,139276,1159161372,Platform,,,,
1158649181,JDT,1158651742,Platform,157797,,,,,,
1158668979,PDE,1158674648,Platform,157883,1158674804,PDE,1158675460,Platform,,
1148647709,JDT,1158680558,Platform,144019,,,,,,
1158679695,PDE,1158683258,Platform,157910,,,,,,
1158849039,JDT,1158849177,Platform,158211,,,,,,
1159521912,JDT,1159522402,Platform,159303,,,,,,
1154780317,JDT,1159775377,Platform,152901,,,,,,
1159775374,JDT,1159778548,Platform,159451,,,,,,
1159536097,Platform,1159782636,Web Tools,159347,1167825315,Platform,,,,
1158843575,JDT,1159943604,Platform,158199,,,,,,
1159965487,PDE,1159972806,Platform,159774,,,,,,
1159793368,JDT,1160041106,Platform,159484,,,,,,
1160026564,JDT,1160129407,Platform,159862,,,,,,
1160111818,JDT,1160131166,Platform,159994,,,,,,
1159931803,JDT,1160453395,Platform,159699,,,,,,
1160127120,JDT,1160454074,Platform,160045,,,,,,
1160468474,PDE,1160471715,Platform,160314,,,,,,
1160479267,JDT,1160479451,Platform,160354,1160479583,JDT,1160480445,Platform,,
1149668255,JDT,1160508418,Platform,145772,,,,,,
1160544384,JDT,1160549597,Platform,160455,,,,,,
1160533788,PDE,1160574992,Platform,160434,,,,,,
1159604245,Platform,1160940178,JDT,159389,1161059484,Platform,,,,
1160829790,JDT,1161049034,Platform,160963,,,,,,
1160809921,JDT,1161065794,Platform,160961,,,,,,
1160655343,Platform,1161114305,Equinox,160722,1161155857,Platform,,,,
1160743425,CDT,1161134918,Platform,160915,,,,,,
1161153547,Platform,1161159954,JDT,161396,1161343243,Platform,,,,
1161140454,PDE,1161198191,Platform,161378,,,,,,
1161226118,JDT,1161232220,Platform,161532,,,,,,
